Company_Code,Networth Next Year,Capital Employed,Net Working Capital ,Current Assets ,Total Sales,Retained Earnings,PBDT,PBIT,PBT,PBT_as_%_of_total_income,PAT,CP,Book Value (Adj.) (Unit Curr),EPS (Annualised) (Adjusted) (Unit Curr),APATM (%)[Latest],Creditors Velocity (Days),Total Liabilities,Total Equity,Market Value of Equity,total assets,Cost of Production,Current Ratio,Gross Block 
2352,2.48,2.51,1.01,1.15,0.17,0.23,0,0,0,0,0,0,5.47,0,-33.33,79,3,4.59,0,4.59,0.28,24.88,0
70460,2.49,5.59,2.69,6.51,11.77,0.13,0.36,0.41,0.17,1.307692308,0.01,0.2,10.94,0.05,9.05,45,1.56,0.5,0,2.06,9.49,1.44,3.21
6755,2.51,7.14,5.7,7.58,6.22,0,0.41,0.29,0.26,0,0.26,0.41,4.73,0.52,4.25,110,4.83,4.89,0,9.72,5.17,2.53,6.27
5174,2.52,2.63,2.62,3.08,5.49,0,0.09,-0.01,-0.01,0,0.02,0.12,4.35,0.04,0.19,265,2.22,6.04,1.11,6.04,5.29,6.5,0.26
6312,2.52,2.54,2.42,2.43,0.04,0,0,0,0,0,0,0,7.68,0,-9.09,0,4,3.3,0,3.3,0,68.21,0.15
71578,2.52,3.9,0.79,2.09,5.4,0.39,0.69,0.62,0.46,1.179487179,0.24,0.47,26.58,5.02,4.8,44,2.6,0.48,0,3.08,4.67,1.23,3.63
4569,2.55,1.98,0.25,1.17,0.06,0.17,0.1,0.09,0.09,0.529411765,0.09,0.1,4.29,0.2,-50,1533,5,4.4,0,4.4,0.09,5.43,0.33
21328,2.55,2.67,1.03,1.31,0,0,-0.03,-0.11,-0.11,0,-0.11,-0.03,2.01,0,0,876,3.52,13.2,1.76,13.2,0.09,4.62,0.5
1495,2.56,2.49,1.63,1.69,0.19,0.01,0.15,0.15,0.15,15,0.1,0.1,49.74,2.09,50,0,4,0.5,0,0.5,0.01,35.87,0
1686,2.58,6.92,1.51,17.84,0.18,0.25,0.27,0.17,0.17,0.68,0.12,0.22,10.39,0.49,61.29,48,4.42,2.4,0,6.82,3.52,1.13,3.26
22520,2.58,7.97,5.21,6.51,14.51,0.32,-1.31,-1.19,-1.6,-5,-1.04,-0.75,40.79,0,-10.98,22,3.89,1,0,4.89,15.4,1.14,22.32
24768,2.58,1.28,0.41,0.41,0.01,0.04,0.02,-0.03,-0.03,-0.75,-0.03,0.02,6.27,0,1200,0,3,2.01,0,2.01,0.06,24.33,1.45
41486,2.59,3.66,2.27,2.62,4.14,0.47,0.22,0.05,0.05,0.106382979,-0.01,0.16,9.44,0,-44.57,12,0.75,3.08,3.56,3.83,4.24,2.43,3.68
4217,2.61,5.03,1.76,3.56,11.14,0.25,0.48,0.35,0.11,0.44,0.09,0.46,8.34,0.3,0.79,29,2.5,3,0.59,5.5,10.91,1.02,9.37
901,2.62,5.45,2.19,2.92,6.92,0.11,0.49,0.32,0.18,1.636363636,0.07,0.38,67.55,1.55,-0.14,14,0.87,0.4,0,1.27,5.74,2.51,10.54
4481,2.62,6,2.5,4.4,8.86,0.06,-0.51,-0.2,-0.73,-12.16666667,-0.73,-0.51,2.61,0,0.51,35,3.38,9.9,6.74,13.28,8.24,1.64,2.33
5299,2.63,3.09,2.19,2.26,14.04,0.02,0,-0.07,-0.14,-7,-0.2,-0.06,9.25,0,0,11,0.3,3.02,2.2,3.32,12.78,11.17,1.89
7799,2.63,11.6,3.01,11.83,6.46,0.1,1.15,0.41,0.38,3.8,0.38,1.15,1.96,0.29,-3.51,556,8.9,13.11,0,22.01,5.5,1.38,19.66
3130,2.64,8.82,0.66,8.56,18.62,0.94,0.58,0.83,-0.07,-0.074468085,-0.13,0.52,7.76,0,-20.77,112,4.71,5.29,2.39,10,17.15,0.61,22.04
4663,2.64,2.63,1.6,1.62,0.35,0,0.21,0.21,0.21,0,0.17,0.17,5.26,0.35,0,0,9,5,0,5,0,162.33,0.03
5870,2.64,59.8,49.67,134.89,182.24,0.12,1.17,8.85,0.52,4.333333333,0.52,1.17,3.65,0.78,0.13,146,53.22,6.62,0,59.84,166.71,1.09,32.07
71824,2.64,22.19,7.73,11.56,12.97,0.08,-0.28,1.44,-1.01,-12.625,-1.65,-0.92,4.72,0,4.5,64,20.78,3,0,23.78,10.63,1.2,10.11
4202,2.65,3.01,2.52,2.3,5.02,0.8,0.65,0.63,0.61,0.7625,0.59,0.63,11.24,2.43,-2.1,1,0.21,2.43,0,2.64,4.95,5.24,0.3
